match_id,season_id,matchday,date,time,home_team,away_team,home_score,away_score,result,goal_diff
2024_24_MTK_NYIREGYHAZA,2024,24,2025-03-16,12:15,MTK Budapest,Nyíregyháza Spartacus,3,0,H,3
2024_24_PUSKAS_ZTE,2024,24,2025-03-16,14:30,Puskás Akadémia FC,Zalaegerszegi TE FC,2,1,H,1
2024_25_KTE_DVSC,2024,25,2025-03-28,15:00,Kecskeméti TE,Debreceni VSC,1,3,A,-2
2024_25_ETO_MTK,2024,25,2025-03-29,09:30,ETO FC,MTK Budapest,2,1,H,1
2024_25_ZTE_PAKS,2024,25,2025-03-29,12:00,Zalaegerszegi TE FC,Paksi FC,1,1,D,0
2024_25_NYIREGYHAZA_PUSKAS,2024,25,2025-03-29,14:30,Nyíregyháza Spartacus,Puskás Akadémia FC,0,2,A,-2
2024_25_UJPEST_FEHERVAR,2024,25,2025-03-30,08:30,Újpest FC,Fehérvár FC,2,2,D,0
2024_25_DVTK_FTC,2024,25,2025-03-30,11:00,Diósgyőri VTK,Ferencvárosi TC,1,1,D,0
2024_26_KTE_ETO,2024,26,2025-04-05,08:30,Kecskeméti TE,ETO FC,1,1,D,0
2024_26_PAKS_NYIREGYHAZA,2024,26,2025-04-05,11:00,Paksi FC,Nyíregyháza Spartacus,2,0,H,2
2024_26_DVSC_DVTK,2024,26,2025-04-05,13:30,Debreceni VSC,Diósgyőri VTK,4,1,H,3
2024_26_FEHERVAR_ZTE,2024,26,2025-04-06,08:00,Fehérvár FC,Zalaegerszegi TE FC,0,2,A,-2
2024_26_PUSKAS_MTK,2024,26,2025-04-06,10:30,Puskás Akadémia FC,MTK Budapest,1,1,D,0
2024_26_FTC_UJPEST,2024,26,2025-04-06,13:00,Ferencvárosi TC,Újpest FC,2,0,H,2
2024_27_DVTK_KTE,2024,27,2025-04-11,12:00,Diósgyőri VTK,Kecskeméti TE,2,1,H,1
2024_27_MTK_PAKS,2024,27,2025-04-11,14:30,MTK Budapest,Paksi FC,1,2,A,-1
2024_27_ETO_PUSKAS,2024,27,2025-04-12,08:15,ETO FC,Puskás Akadémia FC,2,0,H,2
2024_27_ZTE_FTC,2024,27,2025-04-12,13:45,Zalaegerszegi TE FC,Ferencvárosi TC,0,2,A,-2
2024_27_UJPEST_DVSC,2024,27,2025-04-13,08:00,Újpest FC,Debreceni VSC,2,1,H,1
2024_27_NYIREGYHAZA_FEHERVAR,2024,27,2025-04-13,13:00,Nyíregyháza Spartacus,Fehérvár FC,1,0,H,1
2024_28_DVSC_ZTE,2024,28,2025-04-19,07:15,Debreceni VSC,Zalaegerszegi TE FC,4,3,H,1
2024_28_DVTK_ETO,2024,28,2025-04-19,10:15,Diósgyőri VTK,ETO FC,2,4,A,-2
2024_28_PAKS_PUSKAS,2024,28,2025-04-19,14:30,Paksi FC,Puskás Akadémia FC,2,2,D,0
2024_28_FEHERVAR_MTK,2024,28,2025-04-20,07:15,Fehérvár FC,MTK Budapest,1,1,D,0
