matchday,team,current_pts,exp_final_pts,p_champion,p_top4,p_relegation,current_rank
32,Újpest FC,38,38.9,0.0,0.0,0.0,7
33,Ferencvárosi TC,69,69.0,100.0,100.0,0.0,1
33,Puskás Akadémia FC,66,66.0,0.0,100.0,0.0,2
33,Paksi FC,57,57.0,0.0,100.0,0.0,3
33,ETO FC,53,53.0,0.0,100.0,0.0,4
33,MTK Budapest,46,46.0,0.0,0.0,0.0,5
33,Diósgyőri VTK,44,44.0,0.0,0.0,0.0,6
33,Újpest FC,41,41.0,0.0,0.0,0.0,7
33,Nyíregyháza Spartacus,36,36.0,0.0,0.0,0.0,8
33,Debreceni VSC,34,34.0,0.0,0.0,0.0,9
33,Zalaegerszegi TE FC,34,34.0,0.0,0.0,0.0,10
33,Fehérvár FC,31,31.0,0.0,0.0,100.0,11
33,Kecskeméti TE,25,25.0,0.0,0.0,100.0,12
