strategy,bet_num,bankroll
E. Prop. Edge (50%) | Edge 5%,49,157881.3
E. Prop. Edge (50%) | Edge 5%,50,141146.3
E. Prop. Edge (50%) | Edge 5%,51,223694.3
E. Prop. Edge (50%) | Edge 5%,52,210153.3
E. Prop. Edge (50%) | Edge 5%,53,168122.3
E. Prop. Edge (50%) | Edge 5%,54,134498.3
E. Prop. Edge (50%) | Edge 5%,55,116615.29999999999
E. Prop. Edge (50%) | Edge 5%,56,102821.29999999999
E. Prop. Edge (50%) | Edge 5%,57,99432.29999999999
E. Prop. Edge (50%) | Edge 5%,58,90690.29999999999
E. Prop. Edge (50%) | Edge 5%,59,79926.29999999999
E. Prop. Edge (50%) | Edge 5%,60,72513.29999999999
E. Prop. Edge (50%) | Edge 5%,61,67927.29999999999
E. Prop. Edge (50%) | Edge 5%,62,62911.29999999999
E. Prop. Edge (50%) | Edge 5%,63,81292.9
E. Prop. Edge (50%) | Edge 5%,64,78029.9
E. Prop. Edge (50%) | Edge 5%,65,75573.9
E. Prop. Edge (50%) | Edge 5%,66,62789.899999999994
E. Prop. Edge (50%) | Edge 5%,67,71966.9
E. Prop. Edge (50%) | Edge 5%,68,67845.9
E. Prop. Edge (50%) | Edge 5%,69,100893.9
E. Prop. Edge (50%) | Edge 5%,70,85915.9
E. Prop. Edge (50%) | Edge 5%,71,80726.9
E. Prop. Edge (50%) | Edge 5%,72,70765.9
E. Prop. Edge (50%) | Edge 5%,73,60545.899999999994
E. Prop. Edge (50%) | Edge 5%,74,48436.899999999994
E. Prop. Edge (50%) | Edge 5%,75,39722.899999999994
E. Prop. Edge (50%) | Edge 5%,76,37282.899999999994
E. Prop. Edge (50%) | Edge 5%,77,31516.899999999994
E. Prop. Edge (50%) | Edge 5%,78,28807.899999999994
E. Prop. Edge (50%) | Edge 5%,79,68565.7
E. Prop. Edge (50%) | Edge 5%,80,62764.7
E. Prop. Edge (50%) | Edge 5%,81,57454.7
E. Prop. Edge (50%) | Edge 5%,82,56010.7
E. Prop. Edge (50%) | Edge 5%,83,53229.7
E. Prop. Edge (50%) | Edge 5%,84,50290.7
E. Prop. Edge (50%) | Edge 5%,85,43775.7
E. Prop. Edge (50%) | Edge 5%,86,40635.7
E. Prop. Edge (50%) | Edge 5%,87,32508.699999999997
E. Prop. Edge (50%) | Edge 5%,88,26006.699999999997
E. Prop. Edge (50%) | Edge 5%,89,25150.699999999997
E. Prop. Edge (50%) | Edge 5%,90,23684.699999999997
E. Prop. Edge (50%) | Edge 5%,91,21415.699999999997
A. Flat (1000 Ft) | Edge 10%,1,99000.0
A. Flat (1000 Ft) | Edge 10%,2,98010.0
A. Flat (1000 Ft) | Edge 10%,3,97030.0
A. Flat (1000 Ft) | Edge 10%,4,101104.0
A. Flat (1000 Ft) | Edge 10%,5,100093.0
A. Flat (1000 Ft) | Edge 10%,6,106399.3
A. Flat (1000 Ft) | Edge 10%,7,105335.3
A. Flat (1000 Ft) | Edge 10%,8,112390.40000000001
A. Flat (1000 Ft) | Edge 10%,9,111266.40000000001
A. Flat (1000 Ft) | Edge 10%,10,118167.00000000001
A. Flat (1000 Ft) | Edge 10%,11,123249.60000000002
A. Flat (1000 Ft) | Edge 10%,12,122017.60000000002
A. Flat (1000 Ft) | Edge 10%,13,120797.60000000002
A. Flat (1000 Ft) | Edge 10%,14,119589.60000000002
A. Flat (1000 Ft) | Edge 10%,15,118393.60000000002
A. Flat (1000 Ft) | Edge 10%,16,117209.60000000002
A. Flat (1000 Ft) | Edge 10%,17,116037.60000000002
A. Flat (1000 Ft) | Edge 10%,18,114877.60000000002
A. Flat (1000 Ft) | Edge 10%,19,113728.60000000002
A. Flat (1000 Ft) | Edge 10%,20,112591.60000000002
A. Flat (1000 Ft) | Edge 10%,21,118446.80000000002
A. Flat (1000 Ft) | Edge 10%,22,117262.80000000002
A. Flat (1000 Ft) | Edge 10%,23,116089.80000000002
A. Flat (1000 Ft) | Edge 10%,24,114928.80000000002
A. Flat (1000 Ft) | Edge 10%,25,113779.80000000002
A. Flat (1000 Ft) | Edge 10%,26,119925.00000000001
A. Flat (1000 Ft) | Edge 10%,27,118726.00000000001
A. Flat (1000 Ft) | Edge 10%,28,117539.00000000001
A. Flat (1000 Ft) | Edge 10%,29,116364.00000000001
A. Flat (1000 Ft) | Edge 10%,30,115200.00000000001
A. Flat (1000 Ft) | Edge 10%,31,114048.00000000001
A. Flat (1000 Ft) | Edge 10%,32,119292.00000000001
A. Flat (1000 Ft) | Edge 10%,33,118099.00000000001
A. Flat (1000 Ft) | Edge 10%,34,116918.00000000001
A. Flat (1000 Ft) | Edge 10%,35,115749.00000000001
A. Flat (1000 Ft) | Edge 10%,36,114592.00000000001
A. Flat (1000 Ft) | Edge 10%,37,119749.00000000001
A. Flat (1000 Ft) | Edge 10%,38,118552.00000000001
A. Flat (1000 Ft) | Edge 10%,39,117366.00000000001
A. Flat (1000 Ft) | Edge 10%,40,116192.00000000001
A. Flat (1000 Ft) | Edge 10%,41,115030.00000000001
A. Flat (1000 Ft) | Edge 10%,42,113880.00000000001
A. Flat (1000 Ft) | Edge 10%,43,112741.00000000001
A. Flat (1000 Ft) | Edge 10%,44,111614.00000000001
A. Flat (1000 Ft) | Edge 10%,45,110498.00000000001
A. Flat (1000 Ft) | Edge 10%,46,109393.00000000001
A. Flat (1000 Ft) | Edge 10%,47,108299.00000000001
A. Flat (1000 Ft) | Edge 10%,48,112197.80000000002
A. Flat (1000 Ft) | Edge 10%,49,111075.80000000002
A. Flat (1000 Ft) | Edge 10%,50,109964.80000000002
A. Flat (1000 Ft) | Edge 10%,51,112934.80000000002
A. Flat (1000 Ft) | Edge 10%,52,111805.80000000002
A. Flat (1000 Ft) | Edge 10%,53,110687.80000000002
A. Flat (1000 Ft) | Edge 10%,54,109580.80000000002
A. Flat (1000 Ft) | Edge 10%,55,108484.80000000002
A. Flat (1000 Ft) | Edge 10%,56,107399.80000000002
A. Flat (1000 Ft) | Edge 10%,57,106325.80000000002
A. Flat (1000 Ft) | Edge 10%,58,105262.80000000002
A. Flat (1000 Ft) | Edge 10%,59,104209.80000000002
A. Flat (1000 Ft) | Edge 10%,60,103167.80000000002
A. Flat (1000 Ft) | Edge 10%,61,110288.60000000002
A. Flat (1000 Ft) | Edge 10%,62,109185.60000000002
A. Flat (1000 Ft) | Edge 10%,63,108093.60000000002
